C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,ELON
0.078,0.34,1.44,0.01,0.006,0,0.5,0.035,0.0088,0.021,0,0,0,0,0,0,0,0,0,38.5
0.085,0.21,1.44,0.012,0.005,0,0.51,0.035,0.0059,0.021,0,0,0,0,0,0,0,0,0,37
0.085,0.22,1.45,0.005,0.005,0,0.52,0.029,0.0054,0.021,0,0,0,0,0,0,0,0,0,37.5
0.091,0.2,1.44,0.007,0.006,0,0.52,0.033,0.0062,0.021,0,0,0,0,0,0,0,0,0,38
0.076,0.2,1.42,0.003,0.003,0,0.52,0.036,0.0062,0.021,0,0,0,0,0,0,0,0,0,40
0.12,0.41,1.41,0.012,0.009,0.002,0.019,0.039,0.004,0.022,0.003,0.0002,0.018,0.019,0,0.012,0,0,0,22
0.1,0.21,1.48,0.016,0.007,0,0.51,0.033,0.0078,0.022,0,0,0,0,0,0,0,0,0,38
0.095,0.21,1.48,0.027,0.006,0,0.52,0.036,0.0063,0.022,0,0,0,0,0,0,0,0,0,36
0.077,0.32,1.44,0.013,0.003,0,0,0.034,0.0042,0.022,0.05,0,0,0,0,0.15,0,0,0,30
0.061,0.29,1.45,0.013,0.003,0,0.16,0.037,0.0047,0.023,0.05,0,0,0,0,0.15,0,0,0,29
0.067,0.29,1.45,0.01,0.003,0,0.16,0.04,0.0034,0.023,0.05,0,0,0,0,0,0,0,0,28
0.073,0.31,1.43,0.013,0.003,0.2,0,0.038,0.0053,0.023,0,0,0,0,0,0,0,0,0,30
0.15,0.3,1.39,0.016,0.024,0,0,0,0.005,0.024,0,0,0,0,0,0,0,0,0,25
0.15,0.3,1.39,0.016,0.024,0,0,0,0.005,0.024,0,0,0,0,0,0,0,0,0,26
0.15,0.3,1.39,0.016,0.024,0,0,0,0.005,0.024,0,0,0,0,0,0,0,0,0,25
0.15,0.3,1.39,0.016,0.024,0,0,0,0.005,0.024,0,0,0,0,0,0,0,0,0,27
0.15,0.3,1.39,0.016,0.024,0,0,0,0.005,0.024,0,0,0,0,0,0,0,0,0,24
0.15,0.3,1.39,0.016,0.024,0,0,0,0.005,0.024,0,0,0,0,0,0,0,0,0,24
0.21,0.146,1.35,0.03,0.033,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,36
0.15,0.4,1.37,0.02,0.007,0.002,0.02,0.033,0.004,0.026,0.002,0.0002,0.002,0.02,0,0.017,0,0,0,27
0.15,0.38,1.41,0.013,0.013,0.002,0.023,0.041,0.005,0.027,0.002,0.0003,0.002,0.023,0,0.013,0,0,0,23
0.15,0.29,1.23,0.017,0.008,0.003,0.02,0.014,0.011,0.028,0.003,0,0.003,0.01,0,0.01,0,0,0.0077,36
