C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,Temperature,Energy
0.16,0.26,1.45,0.011,0.003,0.005,0.02,0.04,0.0051,0.005,0.026,0,0,0.02,0,0.02,0,0,0,-47.73047424,27
0.16,0.26,1.45,0.011,0.003,0.005,0.02,0.038,0.0056,0.005,0.043,0,0,0.02,0,0.02,0,0,0,-67.19786786,27
0.15,0.29,1.47,0.013,0.003,0.005,0.02,0.038,0.012,0.005,0.027,0,0,0.02,0,0.02,0,0,0,-46.36857143,27
0.14,0.27,1.46,0.012,0.003,0.005,0.02,0.038,0.014,0.005,0.047,0,0,0.02,0,0,0,0,0,-72.62666147,27
0.045,0.55,1.41,0.013,0.015,0.01,0.02,0.039,0.0067,0.005,0.06,0,0,0.02,0,0.02,0,0,0,-42,27
0.045,0.5,1.4,0.015,0.012,0.01,0.02,0.037,0.0065,0.005,0.005,0,0.012,0.02,0,0.02,0,0,0,-62,27
0.046,0.53,1.37,0.012,0.014,0.01,0.02,0.038,0.0065,0.005,0.06,0,0,0.02,0,0.02,0,0,0,-12,27
0.048,0.5,1.4,0.015,0.013,0.01,0.02,0.034,0.0067,0.005,0.005,0,0.011,0.02,0,0.02,0,0,0,-62,27
0.062,0.34,1.5,0.012,0.006,0.02,0.07,0.029,0.016,0.005,0.12,0,0,0.07,0,0.07,0,0,0,-20,27
0.063,0.34,1.56,0.012,0.006,0.02,0.07,0.035,0.017,0.005,0.12,0,0,0.07,0,0.07,0,0,0,-40,27
0.08,0.42,1.45,0.015,0.012,0,0.02,0.035,0.012,0.005,0.09,0,0,0,0,0.02,0,0,0,-25,27
0.08,0.4,1.45,0.015,0.016,0,0.26,0.038,0.0067,0.005,0.09,0,0.011,0,0,0.26,0,0,0,-35,27
0.08,0.35,1.43,0.015,0.005,0,0.26,0.034,0.0069,0.005,0.13,0,0,0,0,0.35,0,0,0,-5,27
0.084,0.21,1.42,0.005,0.002,0.005,0.02,0.031,0.0047,0.005,0.05,0,0,0.02,0,0.02,0,0,0,-80,27
0.09,0.39,1.44,0.014,0.014,0,0.26,0.039,0.0085,0.005,0.09,0,0,0,0,0.26,0,0,0,-20,27
0.09,0.4,1.48,0.015,0.007,0,0.26,0.037,0.0084,0.005,0.09,0,0.011,0,0,0.25,0,0,0,-50,27
0.09,0.2,1.41,0.006,0.004,0.005,0.02,0.032,0.007,0.005,0.005,0,0,0.02,0,0.02,0,0,0,-70,27
0.09,0.35,1.42,0.016,0.015,0,0.26,0.038,0.0084,0.005,0.13,0,0.021,0,0,0.36,0,0,0,-20,27
